id,codigo,ex,tipo,descricao,nacional_federal,importados_federal,estadual,municipal,vigencia_inicio,vigencia_fim,chave,versao,fonte,estado
48523,03019110,,0,"Trutas (salmo trutta e oncorhynchus),para reproducao",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48524,03019190,,0,"Outros trutas (salmo trutta e oncorhynchus),vivas",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48525,03019210,,0,Enguias (anguilla spp.) para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48526,03019290,,0,Outros enguias (anguilla spp.) vivas,13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48527,03019310,,0,Carpas para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48528,03019390,,0,Outros carpas vivas,13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48529,03019410,,0,"Atuns-azuis (thunnus thynnus, thunnus orientalis) para reproducao",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48530,03019490,,0,"Outros atuns-azuis (thunnus thynnus, thunnus orientalis)",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48531,03019510,,0,Atuns-do-sul (thunnus maccoyii) para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48532,03019590,,0,Outros atuns-do-sul (thunnus maccoyii),13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48533,03019911,,0,"Tilapias,peixes para reproducao",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48534,03019912,,0,"Esturjoes,peixes para reproducao",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48535,03019919,,0,Outros peixes vivos para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48536,03019991,,0,"Tilapias,peixes vivos",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48537,03019992,,0,"Esturjoes,peixes vivos",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48538,03019999,,0,Outros peixes vivos,13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
