2024-06-01 10:04:39 - scheduler.py - main - thread_zap_automato.py - {'process': <Popen: returncode: None args: ['python', 'thread_zap_automato.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 38, 817482), 'interval': 3600}
2024-06-01 10:04:39 - scheduler.py - main - thread_IBPT_NCM_CEST.py - {'process': <Popen: returncode: None args: ['python', 'thread_IBPT_NCM_CEST.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 38, 822505), 'interval': 3600}
2024-06-01 10:04:40 - scheduler.py - main - servico.py - {'process': <Popen: returncode: None args: ['python', 'servico.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 4, 49, 880811), 'interval': 10}
2024-06-01 10:04:41 - scheduler.py - main - maxupdate.py - {'process': <Popen: returncode: None args: ['python', 'maxupdate.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 39, 885820), 'interval': 3600}
2024-06-01 10:04:41 - scheduler.py - main - thread_verifica_remoto.py - {'process': <Popen: returncode: None args: ['python', 'thread_verifica_remoto.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 9, 39, 891883), 'interval': 300}
2024-06-01 10:04:41 - scheduler.py - main - thread_backup_local.py - {'process': <Popen: returncode: None args: ['python', 'thread_backup_local.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 14, 39, 910914), 'interval': 600}
2024-06-01 10:04:41 - scheduler.py - main - thread_servidor_socket.py - {'process': <Popen: returncode: None args: ['python', 'thread_servidor_socket.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 39, 932000), 'interval': 3600}
2024-06-01 10:04:41 - scheduler.py - main - thread_xml_contador.py - {'process': <Popen: returncode: None args: ['python', 'thread_xml_contador.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 34, 39, 981570), 'interval': 1800}
2024-06-01 10:04:41 - scheduler.py - main - thread_atualiza_banco.py - {'process': <Popen: returncode: None args: ['python', 'thread_atualiza_banco.py']>, 'next_run': datetime.datetime(2024, 6, 1, 12, 4, 39, 986557), 'interval': 7200}
2024-06-01 10:04:41 - scheduler.py - main - thread_zap_automato.py - {'process': <Popen: returncode: None args: ['python', 'thread_zap_automato.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 39, 991588), 'interval': 3600}
2024-06-01 10:04:41 - scheduler.py - main - thread_IBPT_NCM_CEST.py - {'process': <Popen: returncode: None args: ['python', 'thread_IBPT_NCM_CEST.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 39, 995576), 'interval': 3600}
2024-06-01 10:04:42 - scheduler.py - main - servico.py - {'process': <Popen: returncode: None args: ['python', 'servico.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 4, 51, 40713), 'interval': 10}
2024-06-01 10:04:42 - scheduler.py - main - maxupdate.py - {'process': <Popen: returncode: None args: ['python', 'maxupdate.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 41, 47697), 'interval': 3600}
2024-06-01 10:04:42 - scheduler.py - main - thread_verifica_remoto.py - {'process': <Popen: returncode: None args: ['python', 'thread_verifica_remoto.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 9, 41, 56747), 'interval': 300}
2024-06-01 10:04:42 - scheduler.py - main - thread_backup_local.py - {'process': <Popen: returncode: None args: ['python', 'thread_backup_local.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 14, 41, 69797), 'interval': 600}
2024-06-01 10:04:42 - scheduler.py - main - thread_servidor_socket.py - {'process': <Popen: returncode: None args: ['python', 'thread_servidor_socket.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 41, 89966), 'interval': 3600}
2024-06-01 10:04:42 - scheduler.py - main - thread_xml_contador.py - {'process': <Popen: returncode: None args: ['python', 'thread_xml_contador.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 34, 41, 135002), 'interval': 1800}
2024-06-01 10:04:42 - scheduler.py - main - thread_atualiza_banco.py - {'process': <Popen: returncode: None args: ['python', 'thread_atualiza_banco.py']>, 'next_run': datetime.datetime(2024, 6, 1, 12, 4, 41, 141014), 'interval': 7200}
2024-06-01 10:04:42 - scheduler.py - main - thread_zap_automato.py - {'process': <Popen: returncode: None args: ['python', 'thread_zap_automato.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 41, 146005), 'interval': 3600}
2024-06-01 10:04:42 - scheduler.py - main - thread_IBPT_NCM_CEST.py - {'process': <Popen: returncode: None args: ['python', 'thread_IBPT_NCM_CEST.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 41, 151023), 'interval': 3600}
2024-06-01 10:04:43 - scheduler.py - main - servico.py - {'process': <Popen: returncode: None args: ['python', 'servico.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 4, 52, 182625), 'interval': 10}
2024-06-01 10:04:43 - scheduler.py - main - maxupdate.py - {'process': <Popen: returncode: None args: ['python', 'maxupdate.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 42, 187612), 'interval': 3600}
2024-06-01 10:04:43 - scheduler.py - main - thread_verifica_remoto.py - {'process': <Popen: returncode: None args: ['python', 'thread_verifica_remoto.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 9, 42, 195627), 'interval': 300}
2024-06-01 10:04:43 - scheduler.py - main - thread_backup_local.py - {'process': <Popen: returncode: None args: ['python', 'thread_backup_local.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 14, 42, 246738), 'interval': 600}
2024-06-01 10:04:43 - scheduler.py - main - thread_servidor_socket.py - {'process': <Popen: returncode: None args: ['python', 'thread_servidor_socket.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 42, 251771), 'interval': 3600}
